States,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,"47,79,736","47,80,125","47,85,437","47,99,069","48,15,588","48,30,081","48,41,799","48,52,347","48,63,525","48,74,486","48,87,681","49,03,185"
Alaska,"7,10,231","7,10,249","7,13,910","7,22,128","7,30,443","7,37,068","7,36,283","7,37,498","7,41,456","7,39,700","7,35,139","7,31,545"
Arizona,"63,92,017","63,92,288","64,07,172","64,72,643","65,54,978","66,32,764","67,30,413","68,29,676","69,41,072","70,44,008","71,58,024","72,78,717"
Arkansas,"29,15,918","29,16,031","29,21,964","29,40,667","29,52,164","29,59,400","29,67,392","29,78,048","29,89,918","30,01,345","30,09,733","30,17,804"
California,"3,72,53,956","3,72,54,519","3,73,19,502","3,76,38,369","3,79,48,800","3,82,60,787","3,85,96,972","3,89,18,045","3,91,67,117","3,93,58,497","3,94,61,588","3,95,12,223"
Colorado,"50,29,196","50,29,319","50,47,349","51,21,108","51,92,647","52,69,035","53,50,101","54,50,623","55,39,215","56,11,885","56,91,287","57,58,736"
Connecticut,"35,74,097","35,74,147","35,79,114","35,88,283","35,94,547","35,94,841","35,94,524","35,87,122","35,78,141","35,73,297","35,71,520","35,65,287"
Delaware,"8,97,934","8,97,937","8,99,593","9,07,381","9,15,179","9,23,576","9,32,487","9,41,252","9,48,921","9,56,823","9,65,479","9,73,764"
District of Columbia,"6,01,723","6,01,767","6,05,226","6,19,800","6,34,924","6,50,581","6,62,328","6,75,400","6,85,815","6,94,906","7,01,547","7,05,749"
Florida,"1,88,01,310","1,88,04,564","1,88,45,537","1,90,53,237","1,92,97,822","1,95,45,621","1,98,45,911","2,02,09,042","2,06,13,477","2,09,63,613","2,12,44,317","2,14,77,737"
Georgia,"96,87,653","96,88,729","97,11,881","98,02,431","99,01,430","99,72,479","1,00,67,278","1,01,78,447","1,03,01,890","1,04,10,330","1,05,11,131","1,06,17,423"
Hawaii,"13,60,301","13,60,307","13,63,963","13,79,329","13,94,804","14,08,243","14,14,538","14,22,052","14,27,559","14,24,393","14,20,593","14,15,872"
Idaho,"15,67,582","15,67,657","15,70,746","15,83,910","15,95,324","16,11,206","16,31,112","16,51,059","16,82,380","17,17,715","17,50,536","17,87,065"
Illinois,"1,28,30,632","1,28,31,572","1,28,40,503","1,28,67,454","1,28,82,510","1,28,95,129","1,28,84,493","1,28,58,913","1,28,20,527","1,27,78,828","1,27,23,071","1,26,71,821"
Indiana,"64,83,802","64,84,051","64,90,432","65,16,528","65,37,703","65,68,713","65,93,644","66,08,422","66,34,304","66,58,078","66,95,497","67,32,219"
Iowa,"30,46,355","30,46,871","30,50,745","30,66,336","30,76,190","30,92,997","31,09,350","31,20,960","31,31,371","31,41,550","31,48,618","31,55,070"
Kansas,"28,53,118","28,53,123","28,58,190","28,69,225","28,85,257","28,93,212","29,00,475","29,09,011","29,10,844","29,08,718","29,11,359","29,13,314"
Kentucky,"43,39,367","43,39,333","43,48,181","43,69,821","43,86,346","44,04,659","44,14,349","44,25,976","44,38,182","44,52,268","44,61,153","44,67,673"
Louisiana,"45,33,372","45,33,487","45,44,532","45,75,625","46,00,972","46,24,527","46,44,013","46,64,628","46,78,135","46,70,560","46,59,690","46,48,794"
Maine,"13,28,361","13,28,358","13,27,629","13,28,284","13,27,729","13,28,009","13,30,513","13,28,262","13,31,317","13,34,612","13,39,057","13,44,212"
